# Hyperparameter Testing for Instance: p18
# Format: config_string, best_distance, convergence_generation, execution_time, num_routes, num_used_depots
#
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.7, 19117.6, 46, 164.126, 24, 6
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.8, 19570.1, 28, 177.93, 25, 6
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.9, 18914.5, 49, 220.176, 24, 6
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.7, 19183.5, 47, 315.379, 25, 6
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.8, 17968.2, 76, 396.506, 24, 6
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.9, 18357.4, 22, 326.478, 25, 6
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.7, 20142.6, 3, 86.997, 24, 6
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.8, 18896.2, 47, 322.839, 24, 6
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.9, 20048.7, 60, 231.034, 25, 6
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.7, 18008.4, 64, 394.319, 24, 6
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.8, 20143.8, 56, 255.477, 24, 6
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.9, 19522.3, 44, 207.262, 24, 6
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.7, 18812.8, 49, 236.005, 24, 6
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.8, 18023.1, 66, 389.843, 24, 6
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.9, 20176.3, 82, 336.01, 25, 6
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.7, 20452.7, 25, 99.473, 24, 6
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.8, 19364.8, 49, 185.454, 24, 6
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.9, 19300.8, 47, 194.723, 24, 6
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.7, 18261.9, 45, 221.444, 25, 6
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.8, 19265.1, 71, 342.224, 24, 6
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.9, 19206.1, 80, 288.747, 25, 6
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.7, 17646.3, 43, 409.307, 25, 6
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.8, 18407.1, 80, 356.545, 24, 6
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.9, 18877.3, 44, 282.527, 24, 6
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.7, 19467.3, 29, 205.872, 24, 6
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.8, 18471.7, 44, 277.826, 23, 6
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.9, 19620.3, 30, 247.794, 24, 6
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.7, 19626.3, 49, 212.286, 24, 6
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.8, 18704, 59, 332.817, 23, 6
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.9, 17949.1, 100, 569.474, 24, 6
pop=50_elite=0.1_mutant=0.3_gen=50_bias=0.7, 19253.8, 44, 176.753, 24, 6
pop=50_elite=0.1_mutant=0.3_gen=50_bias=0.8, 19889.6, 30, 160.449, 25, 6
pop=50_elite=0.1_mutant=0.3_gen=50_bias=0.9, 19959, 49, 180.868, 24, 6
pop=50_elite=0.1_mutant=0.3_gen=100_bias=0.7, 18313, 93, 344.449, 24, 6
pop=50_elite=0.1_mutant=0.3_gen=100_bias=0.8, 18948.1, 83, 282.936, 24, 6
pop=50_elite=0.1_mutant=0.3_gen=100_bias=0.9, 18024.9, 96, 391.014, 24, 6
pop=50_elite=0.1_mutant=0.3_gen=150_bias=0.7, 18817.2, 128, 360.824, 24, 6
pop=50_elite=0.1_mutant=0.3_gen=150_bias=0.8, 19415.5, 84, 278.671, 24, 6
pop=50_elite=0.1_mutant=0.3_gen=150_bias=0.9, 19284.3, 56, 223.65, 24, 6
pop=50_elite=0.1_mutant=0.3_gen=200_bias=0.7, 18299.5, 41, 429.361, 25, 6
pop=50_elite=0.1_mutant=0.3_gen=200_bias=0.8, 18804.3, 80, 361.392, 24, 6
pop=50_elite=0.1_mutant=0.3_gen=200_bias=0.9, 19148.3, 49, 260.052, 25, 6
pop=50_elite=0.1_mutant=0.3_gen=250_bias=0.7, 21335.4, 54, 160.882, 26, 6
pop=50_elite=0.1_mutant=0.3_gen=250_bias=0.8, 18916.1, 71, 297.753, 25, 6
pop=50_elite=0.1_mutant=0.3_gen=250_bias=0.9, 18876.2, 48, 244.405, 25, 6
pop=50_elite=0.1_mutant=0.4_gen=50_bias=0.7, 20433.1, 6, 75.607, 25, 6
pop=50_elite=0.1_mutant=0.4_gen=50_bias=0.8, 20157.7, 4, 111.509, 25, 6
pop=50_elite=0.1_mutant=0.4_gen=50_bias=0.9, 19665.4, 30, 150.071, 23, 6
pop=50_elite=0.1_mutant=0.4_gen=100_bias=0.7, 21573.4, 13, 57.243, 26, 6
pop=50_elite=0.1_mutant=0.4_gen=100_bias=0.8, 21785, 96, 214.499, 26, 6
pop=50_elite=0.1_mutant=0.4_gen=100_bias=0.9, 19275, 30, 200.864, 24, 6
pop=50_elite=0.1_mutant=0.4_gen=150_bias=0.7, 21724.8, 5, 50.909, 25, 6
