# Hyperparameter Testing for Instance: p11
# Format: config_string, best_distance, convergence_generation, execution_time, num_routes, num_used_depots
#
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.7, 14774.6, 43, 210.148, 27, 5
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.8, 14392.4, 46, 209.071, 27, 5
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.9, 15501.5, 48, 146.357, 26, 5
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.7, 14432.4, 98, 400.465, 26, 5
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.8, 14675.6, 34, 247.351, 27, 5
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.9, 15290.8, 35, 161.987, 26, 5
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.7, 14630.4, 26, 164.752, 27, 5
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.8, 14867, 27, 209.616, 26, 5
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.9, 14640.3, 61, 323.94, 27, 5
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.7, 14607.2, 43, 273.016, 27, 5
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.8, 15623.4, 43, 210.163, 27, 5
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.9, 14576.7, 29, 306.571, 27, 5
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.7, 14589.1, 36, 223.2, 27, 5
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.8, 14397.3, 44, 279.384, 27, 5
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.9, 14893.6, 79, 330.145, 27, 5
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.7, 15232.8, 42, 187.264, 28, 5
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.8, 14538.8, 47, 192.9, 27, 5
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.9, 14843.3, 49, 199.86, 26, 5
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.7, 15009.3, 6, 171.96, 27, 5
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.8, 14680.4, 33, 171.467, 27, 5
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.9, 15425.7, 62, 179.73, 27, 5
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.7, 14557, 72, 259.972, 26, 5
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.8, 14657.2, 58, 247.245, 27, 5
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.9, 15290.4, 80, 274.385, 27, 5
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.7, 14988.2, 1, 115.425, 27, 5
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.8, 14141.9, 62, 317.627, 26, 5
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.9, 14868.2, 83, 347.859, 26, 5
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.7, 14651.2, 2, 109.475, 27, 5
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.8, 14706.9, 100, 346.782, 26, 5
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.9, 14355.9, 62, 308.113, 27, 5
pop=50_elite=0.1_mutant=0.3_gen=50_bias=0.7, 15236.4, 47, 194.598, 27, 5
pop=50_elite=0.1_mutant=0.3_gen=50_bias=0.8, 14615.8, 48, 186.002, 27, 5
pop=50_elite=0.1_mutant=0.3_gen=50_bias=0.9, 15046.7, 48, 206.576, 26, 5
pop=50_elite=0.1_mutant=0.3_gen=100_bias=0.7, 15565.2, 98, 222.515, 27, 5
pop=50_elite=0.1_mutant=0.3_gen=100_bias=0.8, 14381.5, 98, 312.356, 27, 5
pop=50_elite=0.1_mutant=0.3_gen=100_bias=0.9, 14049.3, 99, 387.143, 27, 5
pop=50_elite=0.1_mutant=0.3_gen=150_bias=0.7, 14008.9, 15, 214.172, 27, 5
pop=50_elite=0.1_mutant=0.3_gen=150_bias=0.8, 15870.7, 60, 170.52, 27, 5
pop=50_elite=0.1_mutant=0.3_gen=150_bias=0.9, 14861.3, 46, 207.961, 27, 5
pop=50_elite=0.1_mutant=0.3_gen=200_bias=0.7, 15621.5, 4, 89.731, 27, 5
pop=50_elite=0.1_mutant=0.3_gen=200_bias=0.8, 14065.9, 59, 304.941, 26, 5
pop=50_elite=0.1_mutant=0.3_gen=200_bias=0.9, 14353.3, 30, 313.356, 26, 5
pop=50_elite=0.1_mutant=0.3_gen=250_bias=0.7, 16556.1, 63, 168.858, 27, 5
pop=50_elite=0.1_mutant=0.3_gen=250_bias=0.8, 14456.1, 53, 377.468, 27, 5
pop=50_elite=0.1_mutant=0.3_gen=250_bias=0.9, 14335.4, 78, 349.161, 27, 5
pop=50_elite=0.1_mutant=0.4_gen=50_bias=0.7, 16226.2, 5, 55.147, 27, 5
pop=50_elite=0.1_mutant=0.4_gen=50_bias=0.8, 16154.6, 28, 97.977, 27, 5
pop=50_elite=0.1_mutant=0.4_gen=50_bias=0.9, 14820.5, 47, 174.089, 27, 5
