# Hyperparameter Testing for Instance: p08
# Format: config_string, best_distance, convergence_generation, execution_time, num_routes, num_used_depots
#
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.7, 14369.5, 49, 176.263, 26, 2
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.8, 14078, 44, 172.542, 26, 2
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.9, 14646.9, 15, 101.01, 26, 2
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.7, 13853.1, 66, 322.24, 26, 2
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.8, 14391.7, 56, 193.278, 26, 2
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.9, 14781.8, 29, 120.149, 26, 2
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.7, 14882.3, 7, 105.491, 26, 2
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.8, 14105.5, 21, 153.202, 26, 2
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.9, 14606.1, 28, 127.201, 26, 2
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.7, 14301.5, 4, 139.241, 26, 2
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.8, 14728.9, 20, 128.478, 26, 2
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.9, 14813.2, 23, 126.774, 26, 2
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.7, 13885.8, 95, 357.884, 26, 2
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.8, 14145.4, 34, 228.066, 26, 2
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.9, 15024.7, 17, 125.322, 26, 2
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.7, 14655, 47, 203.153, 26, 2
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.8, 13989.6, 45, 191.82, 26, 2
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.9, 14180.3, 47, 189.509, 26, 2
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.7, 15693.2, 32, 113.818, 26, 2
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.8, 14372.9, 61, 298.406, 26, 2
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.9, 15020.6, 26, 189.892, 26, 2
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.7, 14684.1, 26, 147.738, 26, 2
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.8, 14676.7, 83, 275.987, 27, 2
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.9, 14404.4, 63, 281.192, 26, 2
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.7, 15861.5, 28, 82.579, 27, 2
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.8, 15684.6, 46, 123.18, 26, 2
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.9, 14130.7, 73, 312.889, 26, 2
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.7, 15328.8, 1, 41.468, 26, 2
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.8, 15500.8, 95, 223.923, 26, 2
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.9, 15000.8, 26, 162.477, 26, 2
pop=50_elite=0.1_mutant=0.3_gen=50_bias=0.7, 15589.6, 47, 115.887, 27, 2
pop=50_elite=0.1_mutant=0.3_gen=50_bias=0.8, 14525.7, 44, 162.622, 26, 2
pop=50_elite=0.1_mutant=0.3_gen=50_bias=0.9, 14911, 47, 145.877, 26, 2
pop=50_elite=0.1_mutant=0.3_gen=100_bias=0.7, 15005.4, 59, 230.696, 26, 2
pop=50_elite=0.1_mutant=0.3_gen=100_bias=0.8, 14451, 96, 263.229, 26, 2
pop=50_elite=0.1_mutant=0.3_gen=100_bias=0.9, 14147.4, 41, 202.714, 26, 2
pop=50_elite=0.1_mutant=0.3_gen=150_bias=0.7, 14154.7, 14, 154.783, 26, 2
pop=50_elite=0.1_mutant=0.3_gen=150_bias=0.8, 14696.7, 1, 177.673, 26, 2
pop=50_elite=0.1_mutant=0.3_gen=150_bias=0.9, 14657, 70, 226.526, 26, 2
pop=50_elite=0.1_mutant=0.3_gen=200_bias=0.7, 14432.9, 0, 145.195, 26, 2
pop=50_elite=0.1_mutant=0.3_gen=200_bias=0.8, 14898.5, 80, 245.017, 26, 2
pop=50_elite=0.1_mutant=0.3_gen=200_bias=0.9, 14026.1, 95, 263.926, 26, 2
pop=50_elite=0.1_mutant=0.3_gen=250_bias=0.7, 14272.6, 5, 123.441, 26, 2
pop=50_elite=0.1_mutant=0.3_gen=250_bias=0.8, 14255.5, 55, 205.003, 26, 2
pop=50_elite=0.1_mutant=0.3_gen=250_bias=0.9, 14490.2, 33, 179.076, 27, 2
pop=50_elite=0.1_mutant=0.4_gen=50_bias=0.7, 15359.4, 48, 111.424, 27, 2
pop=50_elite=0.1_mutant=0.4_gen=50_bias=0.8, 15265.7, 29, 108.758, 26, 2
pop=50_elite=0.1_mutant=0.4_gen=50_bias=0.9, 14414, 48, 147.357, 26, 2
pop=50_elite=0.1_mutant=0.4_gen=100_bias=0.7, 15723.3, 31, 113.413, 26, 2
pop=50_elite=0.1_mutant=0.4_gen=100_bias=0.8, 15290.1, 46, 155.129, 26, 2
pop=50_elite=0.1_mutant=0.4_gen=100_bias=0.9, 14505.9, 70, 287.33, 26, 2
pop=50_elite=0.1_mutant=0.4_gen=150_bias=0.7, 15340.9, 14, 78.677, 26, 2
pop=50_elite=0.1_mutant=0.4_gen=150_bias=0.8, 16180.8, 12, 56.494, 26, 2
pop=50_elite=0.1_mutant=0.4_gen=150_bias=0.9, 13364.7, 21, 305.914, 26, 2
pop=50_elite=0.1_mutant=0.4_gen=200_bias=0.7, 15908.1, 12, 73.454, 26, 2
pop=50_elite=0.1_mutant=0.4_gen=200_bias=0.8, 13823, 9, 175.016, 26, 2
pop=50_elite=0.1_mutant=0.4_gen=200_bias=0.9, 15512.7, 73, 178.62, 26, 2
pop=50_elite=0.1_mutant=0.4_gen=250_bias=0.7, 15750.1, 18, 68.022, 27, 2
