# Hyperparameter Testing for Instance: pr02
# Format: config_string, best_distance, convergence_generation, execution_time, num_routes, num_used_depots
#
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.7, 3094.74, 40, 54.337, 8, 4
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.8, 3535.87, 10, 30.036, 8, 4
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.9, 3395.78, 43, 40.202, 7, 4
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.7, 3349.09, 50, 46.811, 8, 4
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.8, 3250.94, 22, 28.557, 8, 4
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.9, 3338.15, 31, 35.558, 8, 4
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.7, 3158.05, 28, 30.803, 8, 4
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.8, 3280.22, 28, 39.151, 8, 4
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.9, 3303.17, 25, 47.992, 8, 4
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.7, 3446.97, 34, 45.109, 8, 4
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.8, 3078.97, 62, 65.737, 8, 4
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.9, 3110.72, 65, 49.313, 7, 4
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.7, 3226.42, 60, 61.071, 8, 4
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.8, 3245.23, 31, 36.207, 8, 4
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.9, 3398.37, 26, 35.437, 8, 4
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.7, 3058.1, 48, 38.842, 7, 4
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.8, 2905.51, 48, 41.226, 7, 4
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.9, 3128.29, 13, 21.675, 8, 4
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.7, 3104.64, 73, 62.954, 8, 4
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.8, 2979.43, 33, 55.627, 8, 4
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.9, 3253, 37, 40.268, 8, 4
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.7, 2981.13, 54, 58.851, 8, 4
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.8, 3179.9, 102, 92.06, 8, 4
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.9, 3176.49, 31, 32.873, 7, 4
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.7, 2954.76, 88, 70.245, 7, 4
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.8, 2960.63, 67, 87.654, 8, 4
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.9, 3335.37, 40, 57.317, 8, 4
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.7, 2814.35, 108, 81.668, 7, 4
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.8, 3119.15, 86, 92.971, 7, 4
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.9, 3179.1, 95, 71.277, 8, 4
pop=50_elite=0.1_mutant=0.3_gen=50_bias=0.7, 3306.32, 49, 32.9, 8, 4
pop=50_elite=0.1_mutant=0.3_gen=50_bias=0.8, 3306.24, 46, 29.443, 8, 4
pop=50_elite=0.1_mutant=0.3_gen=50_bias=0.9, 3041.13, 20, 33.083, 8, 4
pop=50_elite=0.1_mutant=0.3_gen=100_bias=0.7, 3031.62, 77, 56.875, 7, 4
pop=50_elite=0.1_mutant=0.3_gen=100_bias=0.8, 3125.47, 68, 60.525, 7, 4
pop=50_elite=0.1_mutant=0.3_gen=100_bias=0.9, 3373.41, 24, 51.612, 7, 4
pop=50_elite=0.1_mutant=0.3_gen=150_bias=0.7, 3717.96, 37, 27.361, 8, 4
pop=50_elite=0.1_mutant=0.3_gen=150_bias=0.8, 3045.08, 77, 82.277, 8, 4
pop=50_elite=0.1_mutant=0.3_gen=150_bias=0.9, 3043.57, 111, 116.384, 8, 4
pop=50_elite=0.1_mutant=0.3_gen=200_bias=0.7, 3136.55, 84, 96.238, 8, 4
pop=50_elite=0.1_mutant=0.3_gen=200_bias=0.8, 3015.1, 77, 69.472, 8, 4
pop=50_elite=0.1_mutant=0.3_gen=200_bias=0.9, 3168.16, 42, 58.422, 7, 4
pop=50_elite=0.1_mutant=0.3_gen=250_bias=0.7, 3162.24, 33, 48.235, 8, 4
pop=50_elite=0.1_mutant=0.3_gen=250_bias=0.8, 3075.71, 25, 61.395, 8, 4
pop=50_elite=0.1_mutant=0.3_gen=250_bias=0.9, 3157.83, 45, 62.887, 7, 4
pop=50_elite=0.1_mutant=0.4_gen=50_bias=0.7, 3316.22, 5, 23.453, 7, 4
pop=50_elite=0.1_mutant=0.4_gen=50_bias=0.8, 3261.85, 49, 35.26, 8, 4
pop=50_elite=0.1_mutant=0.4_gen=50_bias=0.9, 3371.38, 17, 30.373, 8, 4
