# Hyperparameter Testing for Instance: p09
# Format: config_string, best_distance, convergence_generation, execution_time, num_routes, num_used_depots
#
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.7, 14106.6, 22, 173.035, 26, 3
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.8, 14588.9, 46, 215.662, 26, 3
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.9, 14957.3, 44, 200.543, 26, 3
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.7, 14934, 66, 240.794, 26, 3
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.8, 14726.1, 21, 153.958, 26, 3
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.9, 15129.5, 53, 242.113, 27, 3
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.7, 14985.8, 26, 156.585, 27, 3
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.8, 14462.4, 26, 241.046, 26, 3
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.9, 15077.5, 38, 162.027, 27, 3
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.7, 15406.6, 2, 124.88, 26, 3
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.8, 14930.4, 17, 167.806, 26, 3
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.9, 14871.9, 65, 259.549, 26, 3
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.7, 14413.9, 54, 203.124, 27, 3
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.8, 14473.1, 18, 314.356, 26, 3
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.9, 15056.3, 31, 136.618, 27, 3
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.7, 15925.3, 49, 126.079, 27, 3
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.8, 14986.4, 37, 192.859, 26, 3
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.9, 14783.5, 44, 209.209, 26, 3
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.7, 14509.1, 8, 215.855, 26, 3
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.8, 14699.6, 38, 303.134, 26, 3
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.9, 14781.7, 96, 374.459, 26, 3
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.7, 14216.8, 86, 316.18, 26, 3
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.8, 14503.9, 114, 407.87, 26, 3
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.9, 14214.8, 47, 228.711, 26, 3
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.7, 14063.5, 58, 231.656, 27, 3
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.8, 14842.1, 101, 311.457, 27, 3
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.9, 14637.4, 67, 295.131, 27, 3
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.7, 14294.6, 130, 448.475, 26, 3
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.8, 14514.3, 45, 256.976, 27, 3
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.9, 14358.8, 20, 132.484, 27, 3
pop=50_elite=0.1_mutant=0.3_gen=50_bias=0.7, 15550.6, 19, 106.85, 26, 3
pop=50_elite=0.1_mutant=0.3_gen=50_bias=0.8, 14688.4, 44, 206.209, 26, 3
pop=50_elite=0.1_mutant=0.3_gen=50_bias=0.9, 15007, 49, 174.563, 26, 3
pop=50_elite=0.1_mutant=0.3_gen=100_bias=0.7, 16139.5, 84, 205.164, 27, 3
pop=50_elite=0.1_mutant=0.3_gen=100_bias=0.8, 15278.4, 56, 185.491, 26, 3
pop=50_elite=0.1_mutant=0.3_gen=100_bias=0.9, 14521.5, 33, 256.75, 27, 3
pop=50_elite=0.1_mutant=0.3_gen=150_bias=0.7, 15901.4, 4, 57.978, 26, 3
pop=50_elite=0.1_mutant=0.3_gen=150_bias=0.8, 14383, 78, 331.604, 26, 3
pop=50_elite=0.1_mutant=0.3_gen=150_bias=0.9, 14251.2, 55, 247.638, 26, 3
pop=50_elite=0.1_mutant=0.3_gen=200_bias=0.7, 15206.9, 66, 220.615, 27, 3
pop=50_elite=0.1_mutant=0.3_gen=200_bias=0.8, 14982.5, 16, 121.568, 26, 3
pop=50_elite=0.1_mutant=0.3_gen=200_bias=0.9, 14792.2, 76, 226.097, 26, 3
pop=50_elite=0.1_mutant=0.3_gen=250_bias=0.7, 15732.1, 64, 177.997, 27, 3
pop=50_elite=0.1_mutant=0.3_gen=250_bias=0.8, 14673, 49, 193.552, 27, 3
pop=50_elite=0.1_mutant=0.3_gen=250_bias=0.9, 14901.1, 82, 284.543, 27, 3
pop=50_elite=0.1_mutant=0.4_gen=50_bias=0.7, 15816.5, 0, 53.977, 27, 3
pop=50_elite=0.1_mutant=0.4_gen=50_bias=0.8, 15162.4, 12, 136.332, 26, 3
pop=50_elite=0.1_mutant=0.4_gen=50_bias=0.9, 14899.8, 47, 179.587, 26, 3
pop=50_elite=0.1_mutant=0.4_gen=100_bias=0.7, 15176.9, 6, 108.989, 27, 3
pop=50_elite=0.1_mutant=0.4_gen=100_bias=0.8, 14582.9, 21, 170.132, 27, 3
pop=50_elite=0.1_mutant=0.4_gen=100_bias=0.9, 14865.7, 75, 254.321, 27, 3
pop=50_elite=0.1_mutant=0.4_gen=150_bias=0.7, 15144.4, 16, 147.705, 26, 3
pop=50_elite=0.1_mutant=0.4_gen=150_bias=0.8, 15466.4, 8, 120.436, 27, 3
pop=50_elite=0.1_mutant=0.4_gen=150_bias=0.9, 14923.7, 21, 180.684, 27, 3
pop=50_elite=0.1_mutant=0.4_gen=200_bias=0.7, 14963, 0, 179.806, 27, 3
pop=50_elite=0.1_mutant=0.4_gen=200_bias=0.8, 15949.9, 21, 82.754, 27, 3
pop=50_elite=0.1_mutant=0.4_gen=200_bias=0.9, 15417.5, 68, 209.397, 26, 3
pop=50_elite=0.1_mutant=0.4_gen=250_bias=0.7, 16171.4, 20, 83.717, 27, 3
pop=50_elite=0.1_mutant=0.4_gen=250_bias=0.8, 14757.4, 80, 218.471, 26, 3
pop=50_elite=0.1_mutant=0.4_gen=250_bias=0.9, 15188.2, 57, 212.118, 26, 3
pop=50_elite=0.1_mutant=0.5_gen=50_bias=0.7, 15979, 13, 73.182, 27, 3
pop=50_elite=0.1_mutant=0.5_gen=50_bias=0.8, 15636.9, 23, 87.391, 27, 3
pop=50_elite=0.1_mutant=0.5_gen=50_bias=0.9, 15148.7, 38, 142.748, 27, 3
pop=50_elite=0.1_mutant=0.5_gen=100_bias=0.7, 15908.7, 15, 75.222, 27, 3
pop=50_elite=0.1_mutant=0.5_gen=100_bias=0.8, 15681, 18, 82.198, 27, 3
pop=50_elite=0.1_mutant=0.5_gen=100_bias=0.9, 15328.2, 25, 135.383, 27, 3
pop=50_elite=0.1_mutant=0.5_gen=150_bias=0.7, 16146.2, 2, 49.915, 26, 3
pop=50_elite=0.1_mutant=0.5_gen=150_bias=0.8, 16188.8, 10, 57.156, 26, 3
pop=50_elite=0.1_mutant=0.5_gen=150_bias=0.9, 15041.4, 27, 185.092, 26, 3
pop=50_elite=0.1_mutant=0.5_gen=200_bias=0.7, 15823.2, 30, 113.08, 27, 3
pop=50_elite=0.1_mutant=0.5_gen=200_bias=0.8, 15624, 7, 90.183, 26, 3
