# Hyperparameter Testing for Instance: p15
# Format: config_string, best_distance, convergence_generation, execution_time, num_routes, num_used_depots
#
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.7, 9555.71, 22, 84.825, 16, 4
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.8, 9896.7, 49, 85.27, 17, 4
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.9, 10290.6, 23, 89.214, 16, 4
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.7, 9655.32, 55, 140.833, 16, 4
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.8, 9977.78, 97, 184.749, 16, 4
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.9, 9766.72, 34, 144.691, 16, 4
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.7, 9798.78, 103, 199.147, 17, 4
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.8, 9573.8, 67, 139.142, 17, 4
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.9, 10042.3, 14, 55.49, 17, 4
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.7, 9327.81, 25, 102.539, 16, 4
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.8, 9270.24, 80, 197.641, 16, 4
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.9, 10093.3, 30, 123.566, 16, 4
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.7, 9763.72, 27, 92.695, 16, 4
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.8, 10034.7, 70, 138.97, 17, 4
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.9, 10556.8, 30, 89.106, 17, 4
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.7, 10200, 49, 92.616, 16, 4
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.8, 9876.7, 49, 111.234, 16, 4
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.9, 9977.43, 48, 119.289, 16, 4
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.7, 9516.42, 48, 136.264, 16, 4
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.8, 9815.88, 40, 150.161, 16, 4
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.9, 9529, 92, 186.581, 16, 4
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.7, 10407.1, 93, 177.004, 16, 4
