# Hyperparameter Testing for Instance: p10
# Format: config_string, best_distance, convergence_generation, execution_time, num_routes, num_used_depots
#
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.7, 14359.3, 49, 204.17, 26, 4
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.8, 14772.8, 0, 117.124, 26, 4
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.9, 15646.9, 48, 150.026, 27, 4
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.7, 13937.6, 34, 244.787, 27, 4
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.8, 14637, 32, 195.345, 27, 4
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.9, 14748, 55, 267.634, 27, 4
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.7, 14366.7, 6, 222.993, 26, 4
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.8, 14539, 34, 183.441, 27, 4
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.9, 14254.8, 26, 192.521, 27, 4
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.7, 14953.5, 3, 196.227, 26, 4
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.8, 14716, 55, 250.842, 27, 4
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.9, 15243.3, 10, 102.633, 26, 4
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.7, 13975.4, 49, 343.254, 27, 4
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.8, 13840.5, 26, 301.262, 26, 4
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.9, 15237.1, 30, 141.602, 26, 4
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.7, 14348.5, 48, 196.82, 26, 4
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.8, 14109.3, 17, 157.764, 27, 4
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.9, 14477.9, 44, 181.742, 26, 4
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.7, 15869.4, 68, 189.569, 27, 4
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.8, 14488.9, 73, 306.229, 26, 4
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.9, 14977.7, 70, 263.587, 26, 4
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.7, 16153.1, 4, 55.901, 26, 4
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.8, 14006.9, 130, 446.557, 27, 4
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.9, 14869.9, 13, 135.925, 27, 4
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.7, 14289.7, 55, 288.133, 26, 4
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.8, 14652.3, 98, 430.436, 26, 4
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.9, 14916.6, 64, 268.975, 26, 4
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.7, 14525, 0, 231.147, 27, 4
