# Hyperparameter Testing for Instance: pr07
# Format: config_string, best_distance, convergence_generation, execution_time, num_routes, num_used_depots
#
pop=50_elite=0.1_mutant=0.5_gen=50_bias=0.7, 2874.3, 22, 14.423, 6, 6
pop=50_elite=0.1_mutant=0.5_gen=50_bias=0.8, 2636.21, 45, 23.042, 6, 6
pop=50_elite=0.1_mutant=0.5_gen=50_bias=0.9, 2694.75, 48, 25.055, 6, 6
pop=50_elite=0.1_mutant=0.5_gen=100_bias=0.7, 2751.22, 14, 16.1, 6, 6
pop=50_elite=0.1_mutant=0.5_gen=100_bias=0.8, 2480.28, 37, 38.874, 6, 6
pop=50_elite=0.1_mutant=0.5_gen=100_bias=0.9, 2543.71, 77, 41.743, 6, 6
pop=50_elite=0.1_mutant=0.5_gen=150_bias=0.7, 2626.1, 12, 20.709, 6, 6
pop=50_elite=0.1_mutant=0.5_gen=150_bias=0.8, 2700.11, 32, 26.374, 6, 6
pop=50_elite=0.1_mutant=0.5_gen=150_bias=0.9, 2836.1, 123, 38.284, 6, 6
pop=50_elite=0.1_mutant=0.5_gen=200_bias=0.7, 2590.67, 57, 39.635, 6, 6
pop=50_elite=0.1_mutant=0.5_gen=200_bias=0.8, 2381.37, 2, 18.659, 6, 6
pop=50_elite=0.1_mutant=0.5_gen=200_bias=0.9, 2701.59, 126, 53.481, 6, 6
pop=50_elite=0.1_mutant=0.5_gen=250_bias=0.7, 3049.64, 38, 17.716, 6, 6
pop=50_elite=0.1_mutant=0.5_gen=250_bias=0.8, 2846.1, 1, 14.997, 6, 6
pop=50_elite=0.1_mutant=0.5_gen=250_bias=0.9, 2724.27, 46, 23.78, 6, 6
pop=50_elite=0.2_mutant=0.1_gen=50_bias=0.7, 2599.58, 3, 17.573, 6, 6
pop=50_elite=0.2_mutant=0.1_gen=50_bias=0.8, 2497.58, 25, 32.137, 6, 6
pop=50_elite=0.2_mutant=0.1_gen=50_bias=0.9, 2486.78, 47, 31.186, 6, 6
pop=50_elite=0.2_mutant=0.1_gen=100_bias=0.7, 2492.61, 36, 28.792, 6, 6
pop=50_elite=0.2_mutant=0.1_gen=100_bias=0.8, 2514.93, 47, 44.863, 6, 6
pop=50_elite=0.2_mutant=0.1_gen=100_bias=0.9, 2798.23, 38, 23.393, 6, 6
pop=50_elite=0.2_mutant=0.1_gen=150_bias=0.7, 2596.46, 72, 40.924, 6, 6
pop=50_elite=0.2_mutant=0.1_gen=150_bias=0.8, 2551.58, 19, 46.838, 6, 6
pop=50_elite=0.2_mutant=0.1_gen=150_bias=0.9, 2467.28, 24, 28.505, 6, 6
pop=50_elite=0.2_mutant=0.1_gen=200_bias=0.7, 2276.07, 50, 53.798, 6, 6
pop=50_elite=0.2_mutant=0.1_gen=200_bias=0.8, 2637.29, 55, 37.132, 6, 6
pop=50_elite=0.2_mutant=0.1_gen=200_bias=0.9, 2555.07, 50, 43.689, 6, 6
pop=50_elite=0.2_mutant=0.1_gen=250_bias=0.7, 2267.21, 54, 41.891, 6, 6
pop=50_elite=0.2_mutant=0.1_gen=250_bias=0.8, 2684.7, 60, 44.164, 6, 6
pop=50_elite=0.2_mutant=0.1_gen=250_bias=0.9, 2410.02, 62, 46.526, 6, 6
pop=50_elite=0.2_mutant=0.2_gen=50_bias=0.7, 2427.09, 49, 25.045, 6, 6
pop=50_elite=0.2_mutant=0.2_gen=50_bias=0.8, 2626.37, 47, 26.784, 6, 6
pop=50_elite=0.2_mutant=0.2_gen=50_bias=0.9, 2546.36, 17, 23.918, 6, 6
pop=50_elite=0.2_mutant=0.2_gen=100_bias=0.7, 2347.96, 66, 38.275, 6, 6
