# Hyperparameter Testing for Instance: p02
# Format: config_string, best_distance, convergence_generation, execution_time, num_routes, num_used_depots
#
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.7, 866.588, 46, 9.411, 5, 4
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.8, 916.798, 31, 8.781, 6, 4
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.9, 931.715, 46, 11.057, 6, 4
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.7, 842.732, 40, 12.441, 6, 4
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.8, 851.274, 10, 11.132, 6, 4
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.9, 846.377, 16, 13.771, 6, 4
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.7, 812.037, 36, 14.48, 6, 4
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.8, 882.266, 14, 7.305, 6, 4
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.9, 860.893, 22, 11, 6, 4
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.7, 855.175, 52, 17.333, 6, 4
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.8, 850.695, 61, 16.372, 6, 4
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.9, 836.32, 27, 16.158, 6, 4
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.7, 922.121, 28, 15.578, 6, 4
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.8, 829.019, 35, 15.867, 5, 4
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.9, 860.779, 35, 14.111, 6, 4
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.7, 888.232, 48, 12.631, 6, 4
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.8, 875.176, 27, 12.957, 6, 4
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.9, 803.02, 45, 16.076, 6, 4
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.7, 900.797, 32, 12.267, 6, 4
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.8, 882.823, 17, 12.575, 6, 4
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.9, 799.53, 26, 17.23, 6, 4
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.7, 894.303, 19, 10.243, 6, 4
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.8, 892.514, 128, 29.333, 6, 4
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.9, 893.279, 54, 14.852, 5, 4
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.7, 876.997, 56, 16.998, 6, 4
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.8, 931.572, 13, 6.694, 6, 4
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.9, 920.752, 27, 10.778, 6, 4
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.7, 816.285, 18, 14.194, 6, 4
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.8, 841.162, 40, 10.683, 6, 4
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.9, 825.018, 43, 18.87, 6, 4
pop=50_elite=0.1_mutant=0.3_gen=50_bias=0.7, 845.935, 36, 14.506, 6, 4
pop=50_elite=0.1_mutant=0.3_gen=50_bias=0.8, 829.739, 46, 14.643, 6, 4
